File_ID,ID,LAT,LON,X..lambert.azimuthal.equal.area.,Y..lambert.azimuthal.equal.area.,River_Name,Station_Location,Catchment_Area (km2),Outlet_elevation (m.a.s.l),nat_id,Country,Pristine Basins,GRDC Reference Dataset,AdaptAlp,d_start,d_end,d_yrs,d_miss,basin_boundary,,ID,wso1_id,ccm,Xccm,Yccm,AreaSHP,fileexists,area_diff,area_diff,FLAG_OK,wso1new,area,station,distance,REL_area_diff,final_wso1_id,,katka,exists,,,
GRDC_6118220_DMF,6118220,"47,0186","-1,7227","-1627420,236","-638335,9272",BRUZ (CARCE),BRUZ (CARCE),820,"69,45",J7483010,FR,1,0,0,1967,2012,46,0,0,,6118220,358852,2003,"3433221,047","2726529,077","22,2899999999952",1,"-797,710000000005","-97,2817073170738",0,-999,-999,-999,-999,-999,,,GRDC_6242260_DMF,1,2005,646245,"194,419999999987"
GRDC_6118230_DMF,6118230,"49,8631","1,1848","-1336492,322","-393322,5006",SAINT-AUBIN-LE-CAUF,SAINT-AUBIN-LE-CAUF,946,"61,8",G2011010,FR,1,0,0,1966,2009,44,"16,03",0,,6118230,332021,2003,"3688862,533","3010302,36","311,14000000014",1,"-634,85999999986","-67,109936575038",0,-999,-999,-999,-999,-999,,,GRDC_6242270_DMF,1,2005,645382,"76,7000000000076"
GRDC_6119010_DMF,6119010,"43,5078","-0,8537","-1668933,688","-1033992,718",BERENX (PONT DE BERENX),BERENX (PONT DE BERENX),2575,"100,44",Q5501010,FR,1,0,0,1923,2012,90,"3,1",0,,6119010,424508,2003,"3444511,92","2330117,809","2578,15999999889",1,"3,15999999889164","0,122718446558898",1,,,,,,424508,,GRDC_6242281_DMF,0,,,
GRDC_6119020_DMF,6119020,"43,1877","-0,5971","-1658232,981","-1074201,54",OLORON-SAINTE-MARIE (OLORON-STE-CROIX),OLORON-SAINTE-MARIE (OLORON-STE-CROIX),488,"277,79",Q6142910,FR,1,0,0,1912,2012,101,"1,21",0,,6119020,431428,2003,"3460379,112","2291947,439","491,700000000399",1,"3,70000000039863","0,758196721393162",1,,,,,,431428,,GRDC_6242290_DMF,1,2005,653935,"384,510000000038"
GRDC_6119030_DMF,6119030,"43,1979","-0,6085","-1658830,03","-1072846,643",OLORON-SAINTE-MARIE (OLORON-SNCF),OLORON-SAINTE-MARIE (OLORON-SNCF),1085,"266,78",Q7002910,FR,1,0,0,1912,2012,101,"0,04",0,,6119030,430537,2003,"3459609,794","2293199,935","1091,99000000034",1,"6,99000000033971","0,644239631367715",1,,,,,,430537,,GRDC_6242420_DMF,1,2005,630644,"339,289999999981"
GRDC_6119040_DMF,6119040,"43,2459","-0,8749","-1678221,764","-1061552,231",MAULEON-LICHARRE,MAULEON-LICHARRE,480,"192,01",Q7322510,FR,1,0,0,1967,2011,45,"0,04",0,,6119040,428454,2003,"3438870,036","2301573,333","515,129999999997",1,"35,1299999999969","7,31874999999936",1,,,,,,428454,,GRDC_6242600_DMF,0,,,
GRDC_6119050_DMF,6119050,"43,1834","-1,3372","-1716070,152","-1057379,994",SAINT-ETIENNE-DE-BAIGORRY,SAINT-ETIENNE-DE-BAIGORRY,156,"207,73",Q9164610,FR,1,0,0,1920,2008,89,"0,31",0,,6119050,429428,2003,"3400708,958","2300259,801","159,400000000042",1,"3,40000000004196","2,17948717951407",1,,,,,,429428,,GRDC_6242610_DMF,1,2005,651560,"62,00000000001"
GRDC_6119110_DMF,6119110,"43,1746","0,0217","-1610199,918","-1089596,762",LOUEY,LOUEY,"89,6","395,04",Q0214010,FR,1,0,0,1968,2012,45,"0,23",0,,6119110,431570,2003,"3510105,956","2283614,074","88,51",1,"-1,08999999999999","-1,21651785714285",1,,,,,,431570,,GRDC_6243030_DMF,1,2005,669413,"5795,58999999989"
GRDC_6119120_DMF,6119120,"43,1306","0,2588","-1592828,922","-1099574,395",GOURGUE,GOURGUE,173,"353,84",Q0522520,FR,1,0,0,1968,2012,45,"4,96",0,,6119120,432413,2003,"3528657,578","2276238,447","172,839999999989",1,"-0,16000000001074","-0,0924855491391561",1,,,,,,432413,,GRDC_6243110_DMF,1,2005,687197,"165,550000000009"
GRDC_6119200_DMF,6119200,"44,5472","-0,872","-1639800,773","-922222,8524",SALLES,SALLES,1650,"74,3",S2242510,FR,1,0,0,1967,2012,46,"2,2",0,,6119200,403725,2003,"3458815,548","2444646,152","1682,98999999985",1,"32,9899999998495","1,99939393938482",1,,,,,,403725,,GRDC_6243200_DMF,1,2005,660386,"154,710000000021"
