grdc_no,wmo_reg,sub_reg,mix_reg,nat_id,river,station,country_code,lat,long,area,altitude,ds_stat_no,w_level,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr,proc_tyrs,proc_tmon,f_import,f_im_yr,l_import,l_im_yr,provider_id,acsys,flux2ocean,gems,gcos_gtn-h,statistics,Pristine Basins,GRDC Reference Dataset,AdaptAlp,ArctHycos,
4584300,4,84,484,,MINHO (JAMAIKA),ALLEY,JM,"17,8","-77,27",513,-999,0,0,1968,1970,3,0,    ,    ,     ,     ,1968,1970,3,"5,395","0,17",332,100,"97,2",13.1.1992,1992,13.1.1992,1992,-999,0,0,0,0,0,0,0,0,0,0
4584500,4,84,484,,MINHO (JAMAIKA),SUTTON,JM,"18,07","-77,23",231,-999,4584300,0,1955,1970,16,"32,49",    ,    ,     ,     ,1955,1970,16,"3,397","0,107",464,"37,5","91,7",13.1.1992,1992,13.1.1992,1992,-999,0,0,0,0,0,0,0,0,0,0
4584700,4,84,484,,COBRE,SPANISH TOWN,JM,"18,35","-76,98",518,31,0,0,1954,1970,17,"8,32",1969,1979,11,0,1954,1979,26,"6,167","0,194",375,"88,5",100,13.1.1992,1992,20.2.1992,1992,-999,0,0,0,0,0,0,0,0,0,0
4584800,4,84,484,,RIO GRANDE (JAMAIKA),FELLOWSHIP,JM,"18,13","-76,47",215,31,0,0,1955,1970,16,"3,85",1969,1979,11,"1,52",1955,1979,25,"25,4","0,801",3726,92,"99,3",13.1.1992,1992,20.2.1992,1992,-999,0,0,0,0,0,0,0,0,0,0
4185050,4,85,485,50046000,RIO DE LA PLATA (PUERTO RICO),HIGHWAY 2 NEAR TOA ALTA,PR,"18,4094","-66,2604","538,7",10,0,0,1960,2003,44,0,    ,    ,     ,     ,1960,2003,44,"7,171","0,226",420,"97,7",100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185051,4,85,485,50045010,RIO DE LA PLATA (PUERTO RICO),BELOW LA PLATA DAMSITE,PR,"18,3438","-66,2377","448,1","23,07",4185050,0,1989,2003,15,"0,02",    ,    ,     ,     ,1989,2003,15,"5,01","0,158",353,"86,7",100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185052,4,85,485,50043800,RIO DE LA PLATA (PUERTO RICO),COMERIO,PR,"18,2211","-66,2246",281,"184,16",4185051,0,1988,2003,16,0,    ,    ,     ,     ,1988,2003,16,"3,981","0,126",447,"87,5",100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185053,4,85,485,50043000,RIO DE LA PLATA (PUERTO RICO),PROYECTO LA PLATA,PR,"18,1583","-66,2285","141,9","259,08",4185052,0,1960,1998,39,"5,2",    ,    ,     ,     ,1960,1998,39,"2,8","0,088",622,"84,6",100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185100,4,85,485,50147800,RIO CULEBRINAS,HIGHWAY 404 NEAR MOCA,PR,"18,3597","-67,0921","184,4","13,72",4185101,0,1967,2003,37,0,    ,    ,     ,     ,1967,2003,37,"8,384","0,264",1434,"94,6",100,16.1.1992,1992,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185101,4,85,485,50148890,RIO CULEBRINAS,MARGARITA DAMSITE NEAR AGUADA,PR,"18,3924","-67,1507",245,"4,51",0,0,1998,2003,6,0,    ,    ,     ,     ,1998,2003,6,"9,457","0,298",1217,"66,7",100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185150,4,85,485,50029000,RIO GRANDE DE ARECIBO,CENTRAL CAMBALACHE,PR,"18,4536","-66,7024",518,"3,69",0,0,1969,2003,35,"37,73",    ,    ,     ,     ,1969,2003,35,"13,414","0,423",817,"54,3",100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185151,4,85,485,50027750,RIO GRANDE DE ARECIBO,ABOVE ARECIBO,PR,"18,4208","-66,6991","450,7","9,14",4185150,0,1984,2002,19,0,    ,    ,     ,     ,1984,2002,19,"9,34","0,295",654,"89,5",100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185152,4,85,485,50024950,RIO GRANDE DE ARECIBO,BELOW UTUADO,PR,"18,3","-66,7038",170,"90,01",4185151,0,1996,2003,8,"9,25",    ,    ,     ,     ,1996,2003,8,"3,598","0,113",667,50,100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185200,4,85,485,50092000,RIO GRANDE DE PATILLAS,NEAR PATILLAS,PR,"18,0325","-66,0324","47,4","71,63",4185201,0,1966,2003,38,0,    ,    ,     ,     ,1966,2003,38,"1,607","0,051",1069,"97,4",100,16.1.1992,1992,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185201,4,85,485,50093050,RIO GRANDE DE PATILLAS,LAGO PATILLAS,PR,"18,0189","-66,0216","66,3","50,02",0,0,1949,1958,10,0,    ,    ,     ,     ,1949,1958,10,"2,2","0,069",1047,90,100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185250,4,85,485,50038100,RIO GRANDE DE MANATI,HIGHWAY 2 NEAR MANATI,PR,"18,4291","-66,5266","510,2","4,27",0,0,1970,2003,34,0,    ,    ,     ,     ,1970,2003,34,"10,649","0,336",658,"97,1",100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185251,4,85,485,50035000,RIO GRANDE DE MANATI,CIALES,PR,"18,3219","-66,4596","331,5","42,67",4185250,0,1946,2003,58,"9,34",    ,    ,     ,     ,1946,2003,58,"6,751","0,213",642,"84,5",100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185252,4,85,485,50031200,RIO GRANDE DE MANATI,NEAR MOROVIS,PR,"18,2938","-66,4127",143,"134,11",4185251,0,1965,2003,39,0,    ,    ,     ,     ,1965,2003,39,"2,591","0,082",571,"97,4",100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185300,4,85,485,50059050,RIO GRANDE DE LOIZA,BELOW DAMSITE LOIZA,PR,"18,3405","-66,0052","541,3",15,0,0,1986,2003,18,0,    ,    ,     ,     ,1986,2003,18,"7,031","0,222",410,"88,9",100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185301,4,85,485,50055000,RIO GRANDE DE LOIZA,CAGUAS,PR,"18,2405","-66,0091","232,6",52,4185300,0,1959,2003,45,0,    ,    ,     ,     ,1959,2003,45,"6,009","0,19",815,"95,6",100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185350,4,85,485,50138000,RIO GUANAJIBO,NEAR HORMINGUEROS,PR,"18,1413","-67,1488","310,8","2,24",0,0,1973,2003,31,0,    ,    ,     ,     ,1973,2003,31,"5,249","0,166",533,"96,8",100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185400,4,85,485,50057000,RIO GURABO,GURABO,PR,"18,2563","-65,9677","155,9","41,64",4185300,0,1959,2003,45,0,    ,    ,     ,     ,1959,2003,45,"3,526","0,111",713,"95,6",100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185450,4,85,485,50111500,RIO JACAGUAS,JUANA DIAZ,PR,"18,0525","-66,5107",129,"39,93",0,0,1984,2003,20,0,    ,    ,     ,     ,1984,2003,20,"1,273","0,04",311,90,100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185500,4,85,485,50144000,RIO GRANDE DE ANASCO,NEAR SAN SEBASTIAN,PR,"18,2827","-67,051","244,2","31,61",0,0,1963,2003,41,0,    ,    ,     ,     ,1963,2003,41,"9,169","0,289",1184,"95,1",100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185550,4,85,485,50047850,RIO DE BAYAMON,NEAR BAYAMON,PR,"18,3336","-66,1366","108,3","19,99",0,0,1964,2003,40,"45,54",    ,    ,     ,     ,1964,2003,40,"1,007","0,032",293,"47,5",100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
